,Salary,Adjusted Salary
"('Chicago', 'Matt Thomas')",1669178,1820401
"('Chicago', 'Alfonzo McKinnie')",1090007,1188758
"('Chicago', 'Tristan Thompson')",1000000,1090597
"('Chicago', 'Marko Simonovic')",925258,1009084
"('Chicago', 'Ayo Dosunmu')",925258,1009084
"('Chicago', 'Alize Johnson')",705600,769525
"('Chicago', 'Tyler Cook')",462629,504542
"('Chicago', 'Malcolm Hill')",271197,295766
"('Chicago', 'Devon Dotson')",239291,260970
"('Chicago', 'Ersan Ilyasova')",151821,165575
"('Chicago', 'Stanley Johnson')",120083,130962
"('Chicago', 'Mac McClung')",106352,115987
"('Chicago', 'Jordan Bell')",102831,112147
"('Cleveland', 'Kevin Love')",31258256,34090178
"('Cleveland', 'Jarrett Allen')",20000000,21811951
"('Cleveland', 'Caris LeVert')",17500000,19085457
"('Cleveland', 'Lauri Markkanen')",15690909,17112467
"('Cleveland', 'Cedi Osman')",8133334,8870194
"('Cleveland', 'Evan Mobley')",8075160,8806749
"('Cleveland', 'Darius Garland')",7040880,7678766
"('Cleveland', 'Isaac Okoro')",6720720,7329600
"('Cleveland', 'Collin Sexton')",6349671,6924935
"('Cleveland', 'Rajon Rondo')",2641691,2881021
"('Cleveland', 'Ed Davis')",2641691,2881021
"('Cleveland', 'Dylan Windler')",2239200,2442066
"('Cleveland', 'Dean Wade')",1782621,1944122
"('Cleveland', 'Kevin Pangos')",1569178,1711341
"('Cleveland', 'Lamar Stevens')",1517981,1655506
"('Cleveland', 'JR Smith')",1456667,1588637
"('Cleveland', 'RJ Nembhard')",491876,536438
"('Cleveland', 'Brandon Goodwin')",343988,375152
"('Cleveland', 'Moses Brown')",232316,253363
"('Cleveland', 'Tacko Fall')",218021,237773
"('Cleveland', 'Tim Frazier')",128709,140369
"('Cleveland', 'Justin Anderson')",111457,121554
"('Cleveland', 'Luke Kornet')",102831,112147
"('Cleveland', 'Malik Newman')",85578,93331
"('Cleveland', 'Tre Scott')",53176,57993
"('Detroit', 'Blake Griffin')",29764126,32460683
"('Detroit', 'Jerami Grant')",20002500,21814678
