,Salary,Adjusted Salary
"('LA Lakers', 'Wenyen Gabriel')",124495,135773
"('LA Lakers', 'Chaundee Brown')",93058,101488
"('LA Lakers', 'Jemerrio Jones')",85578,93331
"('LA Lakers', 'Mac McClung')",5318,5799
"('Memphis', 'Steven Adams')",17073171,18619958
"('Memphis', 'Dillon Brooks')",12200000,13305290
"('Memphis', 'Kyle Anderson')",9937150,10837431
"('Memphis', 'Ja Morant')",9603360,10473401
"('Memphis', 'Jaren Jackson Jr')",9180560,10012296
"('Memphis', ""De'Anthony Melton"")",8805976,9603776
"('Memphis', 'Tyus Jones')",8376286,9135157
"('Memphis', 'Jarrett Culver')",6395160,6974546
"('Memphis', 'Kris Dunn')",5005350,5458822
"('Memphis', 'Rajon Rondo')",4858309,5298460
"('Memphis', 'Ziaire Williams')",4373040,4769226
"('Memphis', 'Brandon Clarke')",2726880,2973928
"('Memphis', 'Marc Gasol')",2692991,2936969
"('Memphis', 'John Konchar')",2200000,2399314
"('Memphis', 'Desmond Bane')",2033160,2217359
"('Memphis', 'Santiago Aldama')",1994520,2175218
"('Memphis', 'Killian Tillie')",1901625,2073907
"('Memphis', 'Carsen Edwards')",1782621,1944122
"('Memphis', 'Xavier Tillman')",1517981,1655506
"('Memphis', 'Sam Merrill')",1517981,1655506
"('Memphis', 'Daniel Oturu')",1517981,1655506
"('Memphis', 'Yves Pons')",462629,504542
"('Memphis', 'Tyrell Terry')",351457,383298
"('Memphis', 'Jontay Porter')",300000,327179
"('Memphis', 'Dakota Mathias')",171156,186662
"('Memphis', 'Shaquille Harrison')",102831,112147
"('Memphis', 'DaQuan Jeffries')",95930,104621
"('Memphis', 'Jon Teske')",53176,57993
"('Memphis', 'Shaq Buchanan')",53176,57993
"('Minnesota', 'Karl-Anthony Towns')",31650600,34518067
"('Minnesota', ""D'Angelo Russell"")",30013500,32732650
"('Minnesota', 'Malik Beasley')",14491964,15804900
"('Minnesota', 'Patrick Beverley')",14320987,15618433
"('Minnesota', 'Taurean Prince')",13334375,14542437
"('Minnesota', 'Anthony Edwards')",10245480,11173695
"('Minnesota', 'Josh Okogie')",4087904,4458258
"('Minnesota', 'Jarred Vanderbilt')",4050000,4416920
"('Minnesota', 'Jake Layman')",3940184,4297155
"('Minnesota', 'Leandro Bolmaro')",2353320,2566525
"('Minnesota', 'Jaden McDaniels')",2063280,2250208
"('Minnesota', 'Jordan McLaughlin')",2000000,2181195
"('Minnesota', 'Naz Reid')",1782621,1944122
"('Minnesota', 'Jaylen Nowell')",1782621,1944122
"('Minnesota', 'Nathan Knight')",462629,504542
"('Minnesota', 'McKinley Wright')",462629,504542
"('Minnesota', 'Greg Monroe')",198748,216754
"('Minnesota', 'Chris Silva')",95930,104621
"('Minnesota', 'Rayjon Tucker')",95930,104621
"('New Orleans', 'CJ McCollum')",30864198,33660419
"('New Orleans', 'Brandon Ingram')",29467800,32137511
"('New Orleans', 'Jonas Valanciunas')",14000000,15268366
"('New Orleans', 'Devonte Graham')",11000000,11996573
"('New Orleans', 'Zion Williamson')",10733400,11705820
"('New Orleans', 'Larry Nance Jr')",10690909,11659479
"('New Orleans', 'Jaxson Hayes')",5348280,5832821
"('New Orleans', 'Garrett Temple')",4910000,5354834
"('New Orleans', 'Kira Lewis')",3822240,4168525
"('New Orleans', 'Trey Murphy')",3053760,3330423
"('New Orleans', 'Tony Snell')",2389641,2606136
"('New Orleans', 'Willy Hernangomez')",2327220,2538060
"('New Orleans', 'Jose Alvarado')",1925406,2099843
"('New Orleans', 'Herb Jones')",1700000,1854015
"('New Orleans', 'Naji Marshall')",1517981,1655506
"('New Orleans', 'Gary Clark')",811213,884706
"('New Orleans', 'Tyrone Wallace')",198760,216767
"('New Orleans', 'Alize Johnson')",198760,216767
"('New Orleans', 'Daulton Hommes')",167504,182679
"('New Orleans', 'Anthony Tolliver')",151821,165575
"('New Orleans', 'Wenyen Gabriel')",99380,108383
"('New Orleans', 'Miye Oni')",95930,104621
"('New Orleans', 'Justin James')",95930,104621
"('New Orleans', 'Zylan Cheatham')",85578,93331
"('New Orleans', 'Jared Harper')",85081,92789
"('New Orleans', 'Feron Hunt')",53176,57993
"('Oklahoma City', 'Kemba Walker')",26238422,28615559
"('Oklahoma City', 'Derrick Favors')",9720900,10601590
"('Oklahoma City', 'Josh Giddey')",5988000,6530498
"('Oklahoma City', 'Shai Gilgeous-Alexander')",5495532,5993413
"('Oklahoma City', 'Mike Muscala')",3500000,3817091
"('Oklahoma City', 'Aleksej Pokusevski')",3113160,3395204
"('Oklahoma City', 'Tre Mann')",2901240,3164085
"('Oklahoma City', 'Darius Bazley')",2513040,2740715
"('Oklahoma City', 'Ty Jerome')",2412840,2631437
"('Oklahoma City', 'Kenrich Williams')",2000000,2181195
"('Oklahoma City', 'Theo Maledon')",2000000,2181195
"('Oklahoma City', 'Jeremiah Robinson-Earl')",2000000,2181195
"('Oklahoma City', 'KZ Okpala')",1782621,1944122
"('Oklahoma City', 'Luguentz Dort')",1782621,1944122
"('Oklahoma City', 'Isaiah Roby')",1782621,1944122
"('Oklahoma City', 'Gabriel Deck')",1690507,1843662
"('Oklahoma City', 'Aaron Wiggins')",1305761,1424059
"('Oklahoma City', 'Kyle Singler')",999200,1089725
"('Oklahoma City', 'Vit Krejci')",925258,1009084
"('Oklahoma City', 'Mamadi Diakite')",869078,947814
"('Oklahoma City', 'Miye Oni')",850331,927368
"('Oklahoma City', 'Patrick Patterson')",737067,803843
"('Oklahoma City', 'Paul Watson')",303102,330562
"('Oklahoma City', 'Admiral Schofield')",300000,327179
"('Oklahoma City', 'Olivier Sarr')",223339,243572
"('Oklahoma City', 'Jaylen Hoard')",191860,209242
"('Oklahoma City', 'Lindy Waters III')",159527,173979
"('Oklahoma City', 'Scotty Hopson')",95930,104621
"('Oklahoma City', 'Rob Edwards')",53176,57993
"('Oklahoma City', 'Zavier Simpson')",37223,40595
"('Oklahoma City', 'Georgios Kalaitzakis')",37223,40595
"('Oklahoma City', 'Melvin Frazier')",13294,14498
"('Phoenix', 'Devin Booker')",31650600,34518067
"('Phoenix', 'Chris Paul')",30800000,33590405
"('Phoenix', 'Deandre Ayton')",12632950,13777464
"('Phoenix', 'Jae Crowder')",9720900,10601590
"('Phoenix', 'Dario Saric')",8510000,9280985
"('Phoenix', 'Cameron Payne')",6500000,7088884
"('Phoenix', 'Mikal Bridges')",5557725,6061241
"('Phoenix', 'JaVale McGee')",5000000,5452987
"('Phoenix', 'Torrey Craig')",4878049,5319988
"('Phoenix', 'Cameron Johnson')",4437000,4838981
"('Phoenix', 'Aaron Holiday')",3980551,4341179
"('Phoenix', 'Landry Shamet')",3768342,4109744
"('Phoenix', 'Elfrid Payton')",2239544,2442441
"('Phoenix', 'Frank Kaminsky')",2089448,2278746
"('Phoenix', 'Abdel Nader')",2000000,2181195
"('Phoenix', 'Bismack Biyombo')",1518213,1655759
"('Phoenix', 'Ishmail Wainright')",457893,499376
"('Phoenix', 'Justin Jackson')",205662,224294
"('Phoenix', 'Chandler Hutchison')",204727,223274
"('Phoenix', 'Paris Bass')",106352,115987
"('Phoenix', 'Emanuel Terry')",85578,93331
"('Phoenix', 'Gabriel Lundberg')",79764,86990
"('Phoenix', 'MJ Walker')",53176,57993
"('Portland', 'Damian Lillard')",39344900,42909452
"('Portland', 'Eric Bledsoe')",18125000,19767081
"('Portland', 'Joe Ingles')",13036364,14217427
"('Portland', 'Josh Hart')",12000000,13087170
"('Portland', 'Jusuf Nurkic')",12000000,13087170
"('Portland', 'Anfernee Simons')",3938818,4295665
"('Portland', 'Justise Winslow')",3902439,4255990
"('Portland', 'Andrew Nicholson')",2844429,3102127
"('Portland', 'Keon Johnson')",2553240,2784557
"('Portland', 'Cody Zeller')",2389641,2606136
"('Portland', 'Ben McLemore')",2389641,2606136
"('Portland', 'Nassir Little')",2316240,2526085
"('Portland', 'Dennis Smith')",1789256,1951358
"('Portland', 'Didi Louzada')",1786878,1948764
"('Portland', 'Elijah Hughes')",1517981,1655506
"('Portland', 'CJ Elleby')",1517981,1655506
"('Portland', 'Greg Brown')",925258,1009084
"('Portland', 'Trendon Watford')",768830,838484
"('Portland', 'Drew Eubanks')",477024,520241
"('Portland', 'Keljin Blevins')",462629,504542
"('Portland', 'Kris Dunn')",312080,340353
"('Portland', 'Brandon Williams')",180798,197177
"('Portland', 'Reggie Perry')",102694,111997
"('Portland', 'Jarron Cumberland')",53176,57993
"('Portland', 'Cameron McGriff')",53176,57993
"('Sacramento', ""De'Aaron Fox"")",28103500,30649609
"('Sacramento', 'Harrison Barnes')",20284091,22121780
"('Sacramento', 'Domantas Sabonis')",18500000,20176055
"('Sacramento', 'Jeremy Lamb')",10500000,11451274
"('Sacramento', 'Richaun Holmes')",10384500,11325310
"('Sacramento', 'Justin Holiday')",6006420,6550587
"('Sacramento', 'Josh Jackson')",5005350,5458822
"('Sacramento', 'Donte DiVincenzo')",4675830,5099448
"('Sacramento', 'Davion Mitchell')",4603200,5020238
"('Sacramento', 'Moe Harkless')",4347600,4741482
"('Sacramento', 'Terence Davis')",4000000,4362390
"('Sacramento', 'Alex Len')",3732000,4070110
"('Sacramento', 'Trey Lyles')",2500000,2726493
"('Sacramento', 'Damian Jones')",1977011,2156123
"('Sacramento', 'Chimezie Metu')",1762796,1922501
"('Sacramento', 'Robert Woodard')",1517981,1655506
"('Sacramento', ""Jahmi'us Ramsey"")",1517981,1655506
"('Sacramento', 'Neemias Queta')",462629,504542
"('Sacramento', 'Louis King')",316396,345060
"('Sacramento', 'Emmanuel Mudiay')",111457,121554
"('Sacramento', 'Justin Robinson')",95930,104621
"('Sacramento', 'Ade Murkey')",53176,57993
"('San Antonio', 'Goran Dragic')",18620165,20307106
"('San Antonio', 'Dejounte Murray')",15428880,16826699
"('San Antonio', 'Doug McDermott')",13750000,14995716
"('San Antonio', 'Josh Richardson')",11615328,12667648
"('San Antonio', 'Al-Farouq Aminu')",10183800,11106427
"('San Antonio', 'Tomas Satoransky')",9531881,10395446
"('San Antonio', 'Jakob Poeltl')",8750000,9542728
"('San Antonio', 'Zach Collins')",7000000,7634183
"('San Antonio', 'Lonnie Walker')",4447896,4850864
"('San Antonio', 'Devin Vassell')",4235160,4618855
"('San Antonio', 'Chandler Hutchison')",4019459,4383612
"('San Antonio', 'Josh Primo')",3946800,4304370
"('San Antonio', 'Romeo Langford')",3804360,4149025
"('San Antonio', 'Luka Samanic')",2959080,3227165
"('San Antonio', 'Keldon Johnson')",2145720,2340117
"('San Antonio', 'Keita Bates-Diop')",1729217,1885879
"('San Antonio', 'Tre Jones')",1517981,1655506
"('San Antonio', 'DeMarre Carroll')",1242340,1354892
"('San Antonio', 'Jock Landale')",925258,1009084
"('San Antonio', 'Devontae Cacok')",726128,791913
"('San Antonio', 'Joe Wieskamp')",563663,614729
"('San Antonio', 'Tyler Johnson')",128709,140369
"('San Antonio', 'DJ Stewart')",101034,110187
"('San Antonio', 'Robert Woodard')",101034,110187
"('San Antonio', 'Jaylen Morris')",95930,104621
"('San Antonio', 'Anthony Lamb')",85578,93331
"('Utah', 'Rudy Gobert')",35344828,38546983
"('Utah', 'Donovan Mitchell')",28103500,30649609
"('Utah', 'Mike Conley')",21000000,22902549
"('Utah', 'Bojan Bogdanovic')",18700000,20394174
"('Utah', 'Jordan Clarkson')",12420000,13545221
"('Utah', ""Royce O'Neale"")",8800000,9597258
"('Utah', 'Juan Hernangomez')",6803190,7419542
"('Utah', 'Rudy Gay')",5890000,6423619
"('Utah', 'Nickeil Alexander-Walker')",3261480,3556962
"('Utah', 'Hassan Whiteside')",2401537,2619110
"('Utah', 'Udoka Azubuike')",2075880,2263949
"('Utah', 'Eric Paschall')",1782621,1944122
"('Utah', 'Danuel House')",991967,1081836
"('Utah', 'Jared Butler')",925258,1009084
"('Utah', 'Trent Forrest')",463211,505176
"('Utah', 'Malik Fitts')",228656,249371
"('Utah', 'Xavier Sneed')",146233,159481
"('Utah', 'Greg Monroe')",138019,150523
"('Utah', 'Denzel Valentine')",102831,112147
"('Utah', 'Norvel Pelle')",95930,104621
"('Utah', 'Zylan Cheatham')",85578,93331
